Key,Id,Japanese(ja)
ITEM_REWARD_NAME_FMT,63053428530601984,{ItemName}{ItemCount:| +{ItemCount}}
JELLY_FORGE,46628102367862784,ゼリーの砦
JOIN_GAME_PLAYERCOUNT_FMT,48096123611504640,{Current}/{Max}
JOIN_GAME_PLAYERNAME_FMT,48095464992530432,{PlayerName}のゲーム
JOIN_GAME_PROTOCOL_MISMATCH,48097039647498240,バージョン不一致
JOIN_GAME_SPECTATE,47816347118198784,観戦
JUMP_PAD,46406064923467776,ジャンプパッド
LOADOUT_ARTIFACT_NONE_DESC,38383465480052736,ただの空の装備スロットです。
LOADOUT_ARTIFACT_NONE_TITLE,38383464444059648,アーティファクトなし
LOADOUT_FLAIR_NONE_DESC,38383568223723520,個性の表現は大事でしょ？
LOADOUT_FLAIR_NONE_TITLE,38383466306330624,フレアなし！
LOADOUT_WEAPON_NONE_DESC,38383462514679808,まあ、しょうがないか。
LOADOUT_WEAPON_NONE_TITLE,38383410991849472,武器なし
MAIN_MENU_ABANDON_RUN,31077628587794432,ロビーに戻る
MAIN_MENU_DEBUG_HEADER,31076998813048832,デバッグ
MAIN_MENU_DISCORD_SERVER_BUTTON,31076690544287744,Discordに集まろう
MAIN_MENU_EXIT,31077710762598400,ゲームを終了
MAIN_MENU_MULTIPLAYER,31077375373467648,マルチプレイ
MAIN_MENU_OPTIONS,31077450753499136,オプション
MAIN_MENU_RESUME,31077530629824512,[InputAction:UI/Cancel]を再開
MAIN_MENU_SKIP_TUTORIAL,31076355092242432,チュートリアルをスキップ
MAIN_MENU_UNSTUCK_BTN_TXT,61894851502731264,動作しなくなった！
MAIN_MENU_UPLOAD_LOGS,31077125934014464,ログをアップロード
MAIN_MENU_WISHLIST,31077254808199168,Steamでウィッシュリストに追加
MEAT_CORE_SITE,46628112702627840,ミートコアサイト
MEAT_MUSH,46628103278026752,ミートマッシュ
MENACING_TENTACLE,46628121766518784,脅威の触手
MENU_COMMON_BACK,47855835508891648,[InputAction:UI/Cancel]戻る
MESSAGE_BOX_ABANDON_RUN_CANCEL,31141851095359488,キャンセル
MESSAGE_BOX_ABANDON_RUN_CONFIRM,31141825619156992,ランを放棄
MESSAGE_BOX_ABANDON_RUN_MESSAGE,31141795957039104,このランを放棄してROX-1に戻りますか？
MESSAGE_BOX_ABANDON_RUN_TITLE,31141752260780032,ランの放棄
MESSAGE_BOX_BLOCK_PLAYER_CANCEL,31122765070196736,キャンセル
MESSAGE_BOX_BLOCK_PLAYER_CONFIRM,31122718286929920,ブロック
MESSAGE_BOX_BLOCK_PLAYER_MESSAGE,31122703279710208,ブロックしたプレイヤーは、あなたのホストしたゲームに参加できず、参加した場合でも永久にミュートされます。<br><br>本当に{PlayerName}をブロックしてよろしいですか？
MESSAGE_BOX_BLOCK_PLAYER_TITLE,31122656211230720,プレイヤーをブロック
MESSAGE_BOX_COMPUTER_OVERHEATING_CANCEL,31121502840545280,そのままにする
MESSAGE_BOX_COMPUTER_OVERHEATING_CONFIRM,31121455612682240,冷却する
MESSAGE_BOX_COMPUTER_OVERHEATING_MESSAGE,31121436348243968,解像度とフレームレートを下げてPCを冷却しますか？
MESSAGE_BOX_COMPUTER_OVERHEATING_TITLE,31121364780834816,PCがオーバーヒート中
MESSAGE_BOX_DEFAULT_CANCEL,31145042352529408,キャンセル
MESSAGE_BOX_DEFAULT_CONFIRM,31145012967235584,OK
MESSAGE_BOX_EXIT_GAME_CANCEL,31121900481536000,キャンセル
MESSAGE_BOX_EXIT_GAME_CONFIRM,31121881414230016,メインメニューに戻る
MESSAGE_BOX_EXIT_GAME_MESSAGE,31121844806344704,本当にフレンドを見捨てますか？
MESSAGE_BOX_EXIT_GAME_SECONDARY,31121914842832896,デスクトップに戻る
MESSAGE_BOX_EXIT_GAME_TITLE,31121802745864192,ゲームを終了
MESSAGE_BOX_FEEDBACK_CANCEL,31100557044211712,後にする
MESSAGE_BOX_FEEDBACK_CANCEL_ON_EXIT,31100501750702080,いいえ、結構です
MESSAGE_BOX_FEEDBACK_CONFIRM,31100327628365824,はい！
MESSAGE_BOX_FEEDBACK_MESSAGE,31100033314054144,短いアンケートに協力してゲームの改善にご協力いただけませんか？
MESSAGE_BOX_FEEDBACK_TITLE,31099905689772032,フィードバック
MESSAGE_BOX_GAME_FULL_MESSAGE,31122339318980608,申し訳ありません。そのゲームはすでに満員です。OKを押すとメインメニューに戻ります。
MESSAGE_BOX_GAME_FULL_TITLE,31122293072584704,ゲーム満員
MESSAGE_BOX_JOIN_FRIEND_CANCEL,31104948069457920,いいえ、結構です！
MESSAGE_BOX_JOIN_FRIEND_CONFIRM,31104888199962624,ゲームに参加
MESSAGE_BOX_JOIN_FRIEND_GAME_MESSAGE,31100789127634944,{FriendName}のゲームに招待されました
MESSAGE_BOX_JOIN_GAME_TITLE,31100726099828736,新しいゲームに参加
MESSAGE_BOX_LEAVE_CONFIRM,69161157897678848,ゲームを終了する
MESSAGE_BOX_LEAVE_HOST_TITLE,69160751356375040,ホスト中のゲームを終了しますか？
MESSAGE_BOX_LEAVE_HOST_TXT,69160978603765760,本当にゲームを終了してよろしいですか？<br>あなたがホストの状態で終了すると、他の全員が追放されます。
MESSAGE_BOX_LEAVE_TITLE,69160074362155008,ゲームを終了しますか？
MESSAGE_BOX_LEAVE_TXT,69160855006015488,本当にゲームを終了してよろしいですか？
MESSAGE_BOX_LOAD_DEMO_CANCEL,56092051975892992,いいえ、二度と表示しない
MESSAGE_BOX_LOAD_DEMO_CONFIRM,56092048666587136,はい
MESSAGE_BOX_LOAD_DEMO_MESSAGE,55860579570479104,「SwapMeat」体験版のセーブデータが見つかりました。体験版の進行状況をコピーしますか？既存のセーブデータは上書きされます。
MESSAGE_BOX_LOAD_DEMO_PROGRESS_TITLE,55860577653682176,体験版の進行状況を移行	
MESSAGE_BOX_LOAD_DEMO_SECONDARY,56092050369474560,いいえ、次回に通知する
MESSAGE_BOX_MISSING_ARTIFACT_MESSAGE,31142435298992128,アルティメットを選択せずに続行してもよろしいですか？
MESSAGE_BOX_NETWORK_DISCONNECT_MESSAGE,31120173598498816,ホストが切断されました
MESSAGE_BOX_NETWORK_DISCONNECT_TITLE,31120107987001344,ホスト切断
MESSAGE_BOX_NETWORK_TIMEOUT_MESSAGE,31120316263555072,クライアントの接続がタイムアウトしました
MESSAGE_BOX_NETWORK_TIMEOUT_TITLE,31120286274281472,エラー：ネットワークタイムアウト
MESSAGE_BOX_NEW_BUILD_MESSAGE,31121145544564736,新しいビルドが利用可能です。OKをクリックして再起動し、アップデートを開始してください。
MESSAGE_BOX_NEW_BUILD_TITLE,31121109494521856,新しいビルドを利用可能
MESSAGE_BOX_QUIT_MESSAGE,31098545544093696,本当に終了してよろしいですか？
MESSAGE_BOX_QUIT_MESSAGE_HOST,45269853613842432,本当にゲームを終了してよろしいですか？<br>あなたがホストの状態で終了すると、他の全員が追放されます。
MESSAGE_BOX_QUIT_TITLE,31098413507403776,ゲームの終了
MESSAGE_BOX_QUIT_TITLE_HOST,45269738467614720,ホスト中のゲームを終了しますか？
MESSAGE_BOX_REBIND_BANNED_MSG_FMT,52961862714585088,入力した「{InputPath}」はすでにグローバルアクション「{ActionName}」に割り当てられています。
MESSAGE_BOX_REBIND_BANNED_TITLE,52961860839731200,キーの再割り当て失敗
MESSAGE_BOX_REBIND_CONFLICT_MSG_FMT,52952037393887232,「{InputPath}」はすでに「{ActionName}」に割り当てられています。新しい入力にも再割り当てが必要です。
MESSAGE_BOX_REBIND_CONFLICT_TITLE,52952033853894656,キーの再割り当て競合
MESSAGE_BOX_RESET_ACCOUNT_CANCEL,31142685069795328,キャンセル
MESSAGE_BOX_RESET_ACCOUNT_CONFIRM,31142672679821312,アカウントをリセット
MESSAGE_BOX_RESET_ACCOUNT_MESSAGE,31142661908848640,本当にアカウントをリセットしてよろしいですか？<br>リセットすると、進行状況とアンロック済みコンテンツがすべて削除されます。
MESSAGE_BOX_RESET_ACCOUNT_TITLE,31142628807401472,アカウントをリセット
MESSAGE_BOX_RESET_RUN_MESSAGE,31141144124448768,本当にランをリセットしてよろしいですか？
MESSAGE_BOX_RESET_RUN_TITLE,31141105490714624,ランをリセット
MESSAGE_BOX_RETURN_CONFIRM,69163340810612736,ランを放棄
MESSAGE_BOX_RETURN_HOST_TXT,69163346871382016,本当にランを放棄してよろしいですか？<br>あなたがホストのため、全員が一緒に戻ります。
MESSAGE_BOX_RETURN_TITLE,69163337862017024,ランを放棄しますか？
MESSAGE_BOX_RETURN_TXT,69163343302029312,本当にランを放棄してよろしいですか？
MESSAGE_BOX_SKIP_TUTORIAL_CANCEL,31142171938643968,キャンセル
MESSAGE_BOX_SKIP_TUTORIAL_CONFIRM,31142158563008512,チュートリアルをスキップ
MESSAGE_BOX_SKIP_TUTORIAL_MESSAGE,31142143690006528,本当にチュートリアルをスキップして船に戻ってよろしいですか？
MESSAGE_BOX_SKIP_TUTORIAL_TITLE,31142106562027520,チュートリアルをスキップ
MESSAGE_BOX_TUTORIAL_REQUIRED_MESSAGE,31119917020340224,マルチプレイに参加する前にチュートリアルを完了する必要があります。<br>今すぐチュートリアルを開始しますか？
MESSAGE_BOX_TUTORIAL_REQUIRED_TITLE,31119792659226624,チュートリアル必須
MESSAGE_BOX_TUTORIAL_SINGLE_PLAYER_MESSAGE,51432919170801664,チュートリアルを再度プレイするにはシングルプレイで再起動する必要があります。<br>シングルプレイゲームを開始するため、メインメニューに戻りますか？
MESSAGE_BOX_TUTORIAL_SINGLE_PLAYER_TITLE,51432847888605184,チュートリアル警告
MESSAGE_BOX_VERSION_MISMATCH_MESSAGE,31120802169479168,バージョン不一致のためゲームに参加できません。最新のアップデートを適用するには、あなたとホストの両方がゲームを再起動する必要があります。
MESSAGE_BOX_VERSION_MISMATCH_TITLE,31120753725267968,バージョン不一致
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_CANCEL,31143010442928128,変更を元に戻す
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_CONFIRM,31142998338166784,変更したままにする
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_MESSAGE,31142986732527616,ビデオ設定が変更されました。この状態でよろしいですか？<br><br>5秒後に自動で元に戻ります。
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_TITLE,31142952192434176,ビデオ設定が変更されました
MODE_SELECT_CONTINUE_BTN_FMT,88516393607032832,星系{SystemNum} - {PlanetName}
MODE_SELECT_CREATE_FRIENDS_DESC,71007351351472128,フレンドがあなたのゲームを見つけて参加できます。
MODE_SELECT_CREATE_FRIENDS_TITLE,71007349887660032,フレンド
MODE_SELECT_CREATE_PUBLIC_DESC,71007348780363776,誰でも参加可能、配信に最適！
MODE_SELECT_CREATE_PUBLIC_TITLE,71007346976813056,公開
MODE_SELECT_CREATE_SOLO_DESC,71007345391366144,一人で遊ぶか他の人を招待します。
MODE_SELECT_CREATE_SOLO_TITLE,71007343826890752,非公開
MODE_SELECT_FRIENDS_GAME,70420085428121600,フレンド
MODE_SELECT_FRIENDS_GAME_DESC,70420318446874624,フレンドがあなたのゲームを見つけて参加できます。
MODE_SELECT_FRIENDS_ONLY,47782185145458688,（フレンドのみ）
MODE_SELECT_GAME_MODE_TITLE,71011334463877120,ゲームモード
MODE_SELECT_HOST_FRIENDS_ONLY,278383288320,非公開モードをホスト
MODE_SELECT_HOST_PRIVATE,327255318528,シングルプレイ
MODE_SELECT_HOST_PUBLIC,214248185856,公開モードをホスト
MODE_SELECT_JOIN_BTN,70420672118976512,ゲームに参加
MODE_SELECT_JOIN_GAME_TITLE,45666886526951424,ゲームに参加
MODE_SELECT_PLAY_BT,71007312436719616,プレイ
MODE_SELECT_PLAY_BTN,70420636043767808,プレイ
MODE_SELECT_PUBLIC_GAME,70420047901683712,公開
MODE_SELECT_PUBLIC_GAME_DESC,70420200670818304,誰でも参加可能、配信に最適！
MODE_SELECT_SOLO_GAME,70420012703084544,非公開
MODE_SELECT_SOLO_GAME_DESC,70420126205145088,一人で遊ぶか他の人を招待します。
MODE_SELECT_TITLE,45666774727778304,モード選択
MEAT_DISPENSER,46628101025685504,ミートディスペンサー
NODE_1,46389232518815744,ノード 1
NODE_2,46389312764239872,ノード 2
NODE_3,46389348839448576,ノード 3
NODE_4,46389350567501824,ノード 4
Open Hatch,70668568375361536,ハッチを開く
OPEN_DOOR,46628110437703680,ドアを開ける
OPTS_MULTIPLAYER_CURRENT_TEAM,69865368843120640,現在のチーム
OPTS_MULTIPLAYER_ENABLE_OBSERVERS,69865544915808256,観戦を有効化
OPTS_MULTIPLAYER_MANAGE_BLOCKS,69865680991612928,ブロックリストを管理...
PAYLOAD,46628108462186496,ペイロード
PIN_MARKER,46746956646510592,とどめ！
PROTECTIVE_CRSYSTAL,66975109500141568,守護クリスタル
RESEARCHER_POD,46628126124400640,従業員ポッド
SECURE_THE_MEAT_CORE!,46628112652296192,ミートコアを守れ！
SENTRY_TURRET,46628102288171008,セントリータレット
SHIELD_GENERATOR,66975448525733888,シールドジェネレーター
SMOKER_1_ACTIVATOR!,46628102149758976,ヌーカー 1アクティベーター
SMOKER_2_ACTIVATOR!,46628102149758977,ヌーカー 2アクティベーター
SMOKER_3_ACTIVATOR!,46628102149758978,ヌーカー 3アクティベーター
SPAWNING_POOL,46628102346891264,スポーンプール
STEERING_PANEL,46628109204578304,操作パネル
SUBTITLE_LINE_FMT,63797240152449024,<color=#{SpeakerNameColor}>{SpeakerName}：</color> {SpeakerText}
SUPPLY_BOX,46628126061486080,サプライボックス
THE_MEAT_MARKET,46628120319483904,ミートマーケット
TIBBLER'S_HEART,46628108311191552,カリプソの心臓
TIBBLER'S_KIDNEY,46628118494961664,カリプソの腎臓
TommyTank,84665130641293312,トミータンク
TOXIC_SLIME,46628104666341376,トキシックスライム
TRADER_TERMINAL_ACTION_EXCHANGE,58597048063090688,購入
TRADER_TERMINAL_ACTION_SELL,58596954802741248,売却
TRADER_TERMINAL_ACTION_UNAVAILABLE_NO_CURRENCY,58597098013057024,通貨不足
TRADER_TERMINAL_EMPTY_ENTRY,58591398792781824,インベントリにリソースがありません
Tutorial_LEGABILITY,47863131572002816,[InputAction:Gameplay/LegsAbility] 脚の能力
TUTORIAL_SWAPMEAT,47859765294915584,[InputAction:Interact/Interact]ミートを交換
UI_ANNOUNCEMENT_DIFFICULTY_FMT,74296319433236480,{difficulty}{ascension:cond:>0? Ascension {}|}
UI_ANNOUNCEMENT_ENTER_PLANET_FMT,74296317638074368,{planet}に入る
UI_ANNOUNCEMENT_HOST_PAUSED,74296313619931136,ホストがゲームを一時停止
UI_ANNOUNCEMENT_LEVEL_UP,74296314148413440,プレイヤーがレベルアップ報酬を選択中
UI_ANNOUNCEMENT_LEVEL_UP_RESUME,74296320918020096,{seconds}秒後に再開
UI_BLOCKLIST_TITLE,69854086446379008,ブロックリスト
UI_BLOCKLIST_UNBLOCK_BTN,69854165966188544,ブロック解除
UI_BOLTBURGER_CONFIGURE,71287883359576064,従業員設定
UI_BOLTBURGER_IGNORE_CARL,89059781141061632,カールを無視
UI_BOLTBURGER_INTERACT,71029788435800064,<color=yellow>逃げろ！</color>
UI_BOLTBURGER_NAME,71029706948861952,ボルトバーガー
UI_BOLTBURGER_TALK_TO_CARL_DESC,84438058676510720,銀河を冒険する前にカールと話そう。
UI_BOLTBURGER_TALK_TO_CARL_TITLE,84438056474501120,マネージャーと話す
UI_BUYNOWONSTEAM,78930206331494400,Steamで今すぐ購入
UI_CARLTERMINAL_CLAIM_BTN_CLAIM,63752028576215040,受け取る
UI_CARLTERMINAL_CLAIM_BTN_CRAFT,63752026911076352,購入
UI_CARLTERMINAL_CLAIM_BTN_CURRENCY_LOCKED,63752030165856256,通貨不足
UI_CARLTERMINAL_CLAIM_BTN_DEMO_LOCKED,63752024679706624,体験版のためロック中
UI_CARLTERMINAL_CLAIM_BTN_REQUIREMENTS_LOCKED,74607019393277952,要件を満たしていません
UI_CARLTERMINAL_COMPLETED,73167992798568448,完了
UI_CARLTERMINAL_QUESTS,73167908547584000,クエスト
UI_CARLTERMINAL_UPGRADES,73167953896398848,アップグレード
UI_CHANGE_DIFFICULTY_CLIENT,76472751513133056,ホストにゲーム難易度を{difficulty}に変更してもらう
UI_CHANGE_DIFFICULTY_TO_FMT,76472743611064320,ゲーム難易度を{difficulty}に変更
UI_COMPASS_E,68109962709032960,E
UI_COMPASS_N,68109857843044352,N
UI_COMPASS_NE,68109928332517376,NE
UI_COMPASS_NW,68110126031036416,NW
UI_COMPASS_S,68110021160853504,S
UI_COMPASS_SE,68109993440698368,SE
UI_COMPASS_SW,68110069386960896,SW
UI_COMPASS_W,68110099468509184,W
UI_CRITS_TEXT,80878169194749952,クリティカル
UI_DAMAGE_TEXT,71027131851726848,ダメージ
UI_DIFFICULTY_SELECT_TITLE,81165014893846528,難易度を選択
UI_DPS_TEXT,80878240179150848,DPS
UI_ENDSTAGE_CONSUMPTION,80927668453761024,惑星消費
UI_ENDSTAGE_DATA,71871687346348032,データ
UI_ENDSTAGE_GATHERING_DISCLAIMER,80901562480713728,*収集には正しいライセンスが必要です
UI_ENDSTAGE_LOADOUT,71871691788115968,装備セット
UI_ENDSTAGE_MATERIAL_FISHING,80927658316128256,釣り場
UI_ENDSTAGE_MATERIAL_MINING,80927660262285312,採掘ポイント
UI_ENDSTAGE_MATERIAL_TECH,80927662330077184,古代技術
UI_ENDSTAGE_NO_MATS_FOUND,80901560471642112,素材がありません！
UI_ENDSTAGE_PRIME_DIRECTIVES,80927664423034880,メイン目標
UI_ENDSTAGE_REWARDS,71871690248806400,報酬
UI_ENDSTAGE_SECONDARY_EVENTS,80927666520186880,サブイベント
UI_ENDSTAGE_STATS,71871688839520256,ステータス
UI_GALAXYMAP_ASCENSION_OFF,78047682533253120,アセンション：オフ
UI_GALAXYMAP_ASCENSION_ON,78047680209608704,アセンション：オン
UI_GALAXYMAP_BOSS,77085141590073344,ボス
UI_GALAXYMAP_DEMO_LOCKED,65856258359357440,体験版のためロック中
UI_GALAXYMAP_DIFFICULTY,77085143997603840,難易度
UI_GALAXYMAP_MODE_RANDOM,76942191665078272,ランダムモード
UI_GALAXYMAP_MODE_SCRIPTED,76942188812951552,星系 {index}
UI_GALAXYMAP_MODE_TUTORIAL,76942183263887360,チュートリアル
UI_GALAXYMAP_MODIFIERS,77085146208002048,モディファイア
UI_GALAXYMAP_PLANETS,77085138289156096,惑星
UI_GALAXYMAP_RANDOM_DESC,77848170049036288,すべての惑星、敵、ボスの出現がランダム化されています。
UI_GALAXYMAP_TUTORIAL_DESC,77848167003971584,一番簡単な難易度でゲームの基本操作と仕組みを把握しよう。
UI_GALAXYMAP_UNKNOWN_BOSS,76942179224772608,？？？
UI_GALAXYMAP_UNKNOWN_PLANET,76942179686146048,？？？
UI_GALAXYSCREEN_ASCENSION_FMT,77181756770344960,アセンション：{rank}
UI_GALAXYSCREEN_DIFFICULTY_FMT,77181621885722624,難易度：{difficulty}
UI_GALAXYSCREEN_MODIFIERS_FMT,77181851947491328,モディファイア：{count}/{max}
UI_GALAXYSELECT_DESTINATION_CURRENT,83744947004497920,目的地
UI_GALAXYSELECT_DESTINATION_SET,83744951232356352,目的地を設定
UI_GALAXYSELECT_DIFFICULTY_NONE,83722034389966848,未クリア
UI_GALAXYSELECT_HARDEST_LABEL,83711659535753216,最高難易度クリア：
UI_GATHERNODE_REQUIREMENT,71029905968586752,<color=red>{Requirement}</color>が必要
UI_HEALTHPICKUP_INTERACT,71039570580332544,HPを{percentage:percent()}%回復
UI_HEALTHPICKUP_NAME,71039568562872320,回復ステーション
UI_HITEFFECT_DESC_FMT,50658861504258048,{trigger}：{effect}
UI_INFOTERMINAL_INTERACT,71029517936746496,開く
UI_INFOTERMINAL_NAME,71029479261069312,図鑑
UI_INTERACT_PIN,71029310960427008,とどめ
UI_INTERACTION_LOCKED,81878672011681792,ロック中
UI_INTERACTION_MEAT,71029281604493312,拾う
UI_ITEM_DESC_FMT,50641214507048960,{attributes:list:|<br>}
UI_ITEMCONTAINER_INTERACT,86195284344823808,アイテム報酬を受け取る
UI_ITEMCONTAINER_NAME,86195272869208064,アイテムコンテナ
UI_KILLS_TEXT,80877989049393152,キル数
UI_LOADOUT_EQUIPPED_NONE,70975984860389376,なし
UI_LOADOUT_SLOT_FLAIR,71008883575873536,フレア
UI_LOADOUT_SLOT_MELEE,71006502045868032,近接
UI_LOADOUT_SLOT_PRIMARY,71006497910284288,メイン
UI_LOADOUT_SLOT_SECONDARY,71006500313620480,サブ
UI_LOADOUT_SLOT_ULTIMATE,71006503694229504,ミステリーミート
UI_LOBBY_TV_NAME,71282475156889600,チューブ
UI_LOBBY_TV_OFF,71282478541692928,<color=yellow>このガラクタをオフにする</color>
UI_LOBBY_TV_ON,71282477010771968,<color=yellow>従業員オリエンテーションを見る</color>
UI_MARKER_FREEMEAT,78544246305447936,フリーミート！
UI_MATERIALS_TITLE,80900142813667328,素材
UI_MEAT_PART_HEAD,71029987690405888,ヘッド
UI_MEAT_PART_LEGS,71030042077945856,レッグ
UI_MEAT_PART_TORSO,71030010549362688,トルソ
UI_MEATCORE_INTERACT,71029870979702784,収穫開始
UI_MEATCORE_NAME,71029824678780928,ミートコア
UI_MEATLOCKER_BACK,74561067920846848,[InputAction:UI/Cancel]戻る
UI_MEATLOCKER_EQUIP_BTN,74561255393652736,[InputAction:UI/Submit]装備
UI_MEATLOCKER_INTERACT_NAME,74562836717563904,ミートロッカー
UI_MEATLOCKER_INTERACT_PROMPT,74562840249167872,装飾アイテムを調整
UI_MEATLOCKER_ROTATE,74561363761885184,回転
UI_MEATLOCKER_SUBTITLE,74560978846412800,// 装飾アイテムを調整
