Key,Id,Spanish(es)
MESSAGE_BOX_JOIN_FRIEND_GAME_MESSAGE,31100789127634944,Te invitaron a unirte al juego de {FriendName}
MESSAGE_BOX_JOIN_FRIEND_CONFIRM,31104888199962624,Unirse a un juego
MESSAGE_BOX_JOIN_FRIEND_CANCEL,31104948069457920,"¡No, estoy bien!"
MESSAGE_BOX_TUTORIAL_REQUIRED_TITLE,31119792659226624,Tutorial obligatorio
MESSAGE_BOX_TUTORIAL_REQUIRED_MESSAGE,31119917020340224,Debes completar el tutorial antes de unirte a un juego multijugador.<br>¿Quieres comenzar el tutorial ahora?
MESSAGE_BOX_NETWORK_DISCONNECT_TITLE,31120107987001344,Anfitrión desconectado.
MESSAGE_BOX_NETWORK_DISCONNECT_MESSAGE,31120173598498816,El anfitrión se desconectó.
MESSAGE_BOX_NETWORK_TIMEOUT_TITLE,31120286274281472,Error: Tiempo de espera de la red
MESSAGE_BOX_NETWORK_TIMEOUT_MESSAGE,31120316263555072,Se agotó el tiempo de conexión del cliente al intentar conectarse o enviar/recibir datos.
MESSAGE_BOX_VERSION_MISMATCH_TITLE,31120753725267968,Falla de coincidencia de versiones
MESSAGE_BOX_VERSION_MISMATCH_MESSAGE,31120802169479168,No te pudimos unir al juego debido a la diferencia de versiones. Es posible que tanto tú como el anfitrión reinicien el juego para descargar las últimas actualizaciones.
MESSAGE_BOX_NEW_BUILD_TITLE,31121109494521856,Nueva versión disponible
MESSAGE_BOX_NEW_BUILD_MESSAGE,31121145544564736,Hay una nueva versión del juego disponible. Haz clic en OK para reiniciar e iniciar la descarga de la actualización.
MESSAGE_BOX_COMPUTER_OVERHEATING_TITLE,31121364780834816,La computadora se sobrecalienta.
MESSAGE_BOX_COMPUTER_OVERHEATING_MESSAGE,31121436348243968,¿Deseas reducir la resolución y los cuadros por segundo para favorecer el enfriamiento del equipo?
MESSAGE_BOX_COMPUTER_OVERHEATING_CONFIRM,31121455612682240,A enfriar
MESSAGE_BOX_COMPUTER_OVERHEATING_CANCEL,31121502840545280,Que arda
MESSAGE_BOX_EXIT_GAME_TITLE,31121802745864192,Salir del juego
MESSAGE_BOX_EXIT_GAME_MESSAGE,31121844806344704,¿Confirmas que quieres abandonar a tus amigos?
MESSAGE_BOX_EXIT_GAME_CONFIRM,31121881414230016,Salir al menú principal
MESSAGE_BOX_EXIT_GAME_CANCEL,31121900481536000,Cancelar
MESSAGE_BOX_EXIT_GAME_SECONDARY,31121914842832896,Salir al escritorio
MESSAGE_BOX_GAME_FULL_TITLE,31122293072584704,Juego lleno
MESSAGE_BOX_GAME_FULL_MESSAGE,31122339318980608,"Lo sentimos, el juego ya está lleno. Haz clic en OK para volver al menú principal."
MESSAGE_BOX_BLOCK_PLAYER_TITLE,31122656211230720,Bloquear jugador
MESSAGE_BOX_BLOCK_PLAYER_MESSAGE,31122703279710208,Los jugadores bloqueados no pueden unirse a tus juegos y se silencian de forma permanente si están en partidas a los que te unas.<br><br>¿Confirmas que deseas bloquear a {PlayerName}?
MESSAGE_BOX_BLOCK_PLAYER_CONFIRM,31122718286929920,Bloquear
MESSAGE_BOX_BLOCK_PLAYER_CANCEL,31122765070196736,Cancelar
MESSAGE_BOX_RESET_RUN_TITLE,31141105490714624,Reiniciar partida
MESSAGE_BOX_RESET_RUN_MESSAGE,31141144124448768,¿Confirmas que deseas reiniciar la partida?
MESSAGE_BOX_ABANDON_RUN_TITLE,31141752260780032,Abandonar esta partida
MESSAGE_BOX_ABANDON_RUN_MESSAGE,31141795957039104,¿Estás seguro que deseas abandonar la partida y regresar a ROX-1?
MESSAGE_BOX_ABANDON_RUN_CONFIRM,31141825619156992,Abandonar partida
MESSAGE_BOX_ABANDON_RUN_CANCEL,31141851095359488,Cancelar
MESSAGE_BOX_SKIP_TUTORIAL_TITLE,31142106562027520,Omitir tutorial
MESSAGE_BOX_SKIP_TUTORIAL_MESSAGE,31142143690006528,¿Estás seguro que deseas omitir el tutorial y regresar a la nave?
MESSAGE_BOX_SKIP_TUTORIAL_CONFIRM,31142158563008512,Omitir tutorial
MESSAGE_BOX_SKIP_TUTORIAL_CANCEL,31142171938643968,Cancelar
MESSAGE_BOX_MISSING_ARTIFACT_MESSAGE,31142435298992128,¿Confirmas que deseas continuar sin seleccionar una habilidad definitiva?
MESSAGE_BOX_RESET_ACCOUNT_TITLE,31142628807401472,Restablecer cuenta
MESSAGE_BOX_RESET_ACCOUNT_MESSAGE,31142661908848640,¿Confirmas que deseas restablecer tu cuenta?<br>Esto eliminará todo el progreso y lo que hayas desbloqueado hasta el momento.
MESSAGE_BOX_RESET_ACCOUNT_CONFIRM,31142672679821312,Restablecer cuenta
MESSAGE_BOX_RESET_ACCOUNT_CANCEL,31142685069795328,Cancelar
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_TITLE,31142952192434176,La configuración del video cambió
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_MESSAGE,31142986732527616,La configuración del video cambió. ¿Aceptar?<br><br>La configuración se revertirá automáticamente en 5 segundos.
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_CONFIRM,31142998338166784,Aceptar cambios
MESSAGE_BOX_VIDEO_SETTINGS_CHANGED_CANCEL,31143010442928128,Revertir cambios
MESSAGE_BOX_DEFAULT_CONFIRM,31145012967235584,OK
MESSAGE_BOX_DEFAULT_CANCEL,31145042352529408,Cancelar
HUNTER_THREAT_DANGER,35125167033147392,¡PELIGRO!
HUNTER_THREAT_BANISHED,35125235089924096,¡DESTERRADO!
HUNTER_THREAT_IMMINENT,35125348260634624,¡AMENAZA INMINENTE!
HUNTER_THREAT_PANTS,35125431806976000,¡PANTALONES MOJADOS!
HUNTER_THREAT_ENRAGED,35125494096584704,¡¡CAZADORES ENFURECIDOS!!
EVENT_HEADER_PRIME,35806126556569600,Directiva principal
EVENT_HEADER_SECONDARY,35806182923821056,Directiva secundaria
EVENT_COMPLETE_REWARDS,36526246664855552,Recompensas:
EVENT_BANNER_PRIME_DIRECTIVE,37577651529965568,¡Directiva principal completada!
EVENT_BANNER_COMPLETE,37577933345251328,¡Completado!
EVENT_BANNER_SECONDARY_DIRECTIVE,37581156248444928,¡Directiva secundaria completada!
WEAPON_SWITCH_CHARGED,37939439253577728,Cargado
LOADOUT_WEAPON_NONE_TITLE,38383410991849472,Sin armas
LOADOUT_WEAPON_NONE_DESC,38383462514679808,"Bueno, dispara."
LOADOUT_ARTIFACT_NONE_TITLE,38383464444059648,Sin artefacto
LOADOUT_ARTIFACT_NONE_DESC,38383465480052736,Solo una ranura de equipo triste y vacía.
LOADOUT_FLAIR_NONE_TITLE,38383466306330624,"¡Oye, nada de estilo!"
LOADOUT_FLAIR_NONE_DESC,38383568223723520,"Quieres expresarte, ¿o no?"
ITEM_INSPECTION_PROMPT,42642500681195520,Inspeccionar
ITEM_NOTIFICATION_NEW_ITEM,42646904150941696,¡Nuevo!
ITEM_RARITY_COMMON,42668023662764032,Común
ITEM_RARITY_RARE,42668026103848960,Raro
ITEM_RARITY_EPIC,42668027727044608,Épico
ITEM_RARITY_LEGENDARY,42668029052444672,Legendario
ITEM_RARITY_UNCOMMON,42668357307064320,Poco común
INTERACT_PROMPT_PING,43136443831279616,[InputAction:Gameplay/MarkTarget] Sonido
DAMAGE_TYPE_FIRE,43142553082519552,Fuego
DAMAGE_TYPE_ICE,43142575572377600,Hielo
DAMAGE_TYPE_SLIME,43142609625931776,Limo
DAMAGE_TYPE_ELECTRIC,43142638340136960,Eléctrico
DAMAGE_TYPE_KINETIC,43142700797517824,Cinético
INTERACTION_PROMPT_HOLD_SUCCESS,43183389103087616,¡Éxito!
EMPLOYEE_RANK_TITLE,38764887885733888,RANGO DE EMPLEADO
EMPLOYEE_RANK_RANKUP_FMT,38764977085997056,¡SUBE DE CLASIFICACIÓN! +{Value}
EMPLOYEE_RANK_POINTS_FORMAT,38765036250849280,{Current} / {Total} RP
EVENT_HUNTER_TIMER_ADVANCED,43479223816413184,Llegada del cazador avanzada
EVENT_HUNTER_TIMER_DELAYED,43480205547790336,Llegada del cazador atrasada
EVENT_COMPLETE_NO_REWARDS,43499746143232000,¡Completado!
MESSAGE_BOX_QUIT_TITLE_HOST,45269738467614720,¿Salir del juego?
MESSAGE_BOX_QUIT_MESSAGE_HOST,45269853613842432,"¿Confirmas que deseas abandonar esta partida?<br>Eres el anfitrión y si te vas, expulsarás a todos los demás jugadores."
WISHLIST_ON_STEAM,45665676281503744,Lista de deseos en<br><b>STEAM</b>
MODE_SELECT_TITLE,45666774727778304,Selección de modo
MODE_SELECT_JOIN_GAME_TITLE,45666886526951424,Unirse a un juego
EMERGENCY_TEXT_DEFAULT_TITLE,46144708803489792,Error de inicio de la aplicación
EMERGENCY_TEXT_DEFAULT_DESCRIPTION,46144714159616000,Un error provocó que la aplicación fallara al iniciarse. Reiniciar la computadora podría solucionar el problema.
EMERGENCY_TEXT_DEFAULT_FOOTER,46312787621638144,Siempre puedes contactarnos para obtener ayuda en el canal #create-bug-reports en el servidor Discord de SwapMeat.<br>Esta aplicación se cerrará automáticamente en 30 segundos.
EMERGENCY_TEXT_IO_DESCRIPTION,46312933025574912,"Se produjo un error al leer uno o más archivos durante el inicio. Esto suele ocurrir debido a algún antivirus muy exigente o a que una partida anterior del juego no se cerró por completo.<br>Si el problema persiste, reiniciar la computadora debería eliminar los bloqueos de archivos."
HARVESTER_CORE,46389181780320256,Núcleo de la cosechadora
NODE_1,46389232518815744,Nodo 1
NODE_2,46389312764239872,Nodo 2
NODE_3,46389348839448576,Nodo 3
NODE_4,46389350567501824,Nodo 4
JUMP_PAD,46406064923467776,Plataforma de salto
MEAT_DISPENSER,46628101025685504,Dispensador de carne
COACH_DAN,46628101034074112,Entrenador Dan
ALIEN_BULB,46628101419950080,Bombilla alienígena
A_FRANKEN_TICKLER,46628101457698816,Un Franken cosquilludo
INSECT_EGGS,46628101830991872,Huevos de insectos
SMOKER_1_ACTIVATOR!,46628102149758976,Activador de horno 1
SMOKER_2_ACTIVATOR!,46628102149758977,Activador de horno 2
SMOKER_3_ACTIVATOR!,46628102149758978,Activador de horno 3
A_CAPTURED_SPIDER,46628102279782400,Una araña capturada
SENTRY_TURRET,46628102288171008,Torreta centinela
SPAWNING_POOL,46628102346891264,Pozo de reaparición
JELLY_FORGE,46628102367862784,Forja de jalea
MEAT_MUSH,46628103278026752,Puré de carne
TOXIC_SLIME,46628104666341376,Limo tóxico
EXHAUST_PORT,46628107665268736,Puerto de escape
TIBBLER'S_HEART,46628108311191552,Corazón de Calipso
PAYLOAD,46628108462186496,Cargamento
BOLT_BURGER,46628108516712448,Hamburtrueno
STEERING_PANEL,46628109204578304,Panel de control
GOAL!,46628109821140992,¡Meta!
OPEN_DOOR,46628110437703680,Abrir puerta
AN_ITEM_CAPSULE,46628112023150592,Una cápsula de objetos
SECURE_THE_MEAT_CORE!,46628112652296192,¡Asegura el núcleo de carne!
A_HIVE_TENDRIL,46628112698433536,Un zarcillo de colmena
MEAT_CORE_SITE,46628112702627840,Sitio del núcleo de carne
GOOBER_TURRET,46628113809924096,Torreta de maní
HEALTH_STATION,46628116695605248,Estación de salud
TIBBLER'S_KIDNEY,46628118494961664,Riñón de Calipso
THE_MEAT_MARKET,46628120319483904,La carnicería
MENACING_TENTACLE,46628121766518784,Tentáculo amenazante
SUPPLY_BOX,46628126061486080,Caja de suministros
RESEARCHER_POD,46628126124400640,Cápsula de empleados
UI_ITEM_DESC_FMT,50641214507048960,{attributes:list:|<br>}
UI_HITEFFECT_DESC_FMT,50658861504258048,{trigger}: {effect}
MESSAGE_BOX_REBIND_CONFLICT_MSG_FMT,52952037393887232,"La tecla ""{InputPath}"" ya está ligada a ""{ActionName}"", por lo que ahora también deberá asignarse a una nueva tecla."
MESSAGE_BOX_REBIND_BANNED_MSG_FMT,52961862714585088,"La tecla ""{InputPath}"" ya está ligada a la acción global ""{ActionName} ""."
HUNTER_ENRAGE_TIMER,53525888526966784,Enfurecerse en:
UI_UPGRADEGRID_COST_FMT,54269938343337984,Costo: <b>{points}</b> puntos
WEAPON_DAMAGE_FMT,58681057103306752,Daño: {MinDamage} - {MaxDamage}{ProjectileCount:| x{}}{DamageType: ({})|}
WEAPON_RATE_FMT,58682157948723200,{ShotsPerSecond:0.00} rondas/s
WEAPON_CRIT_CHANCE_FMT,58682730970341376,{CritChance:percent()} % / DAÑO x{Damage:0.00}
WEAPON_EXPOSIVE_RADIUS_FMT,58683047074062336,Radio explosivo: {Radius} m
WEAPON_HEAL_FMT,58683397642379264,Cantidad de curación: {HealBase}
WEAPON_HEAL_RADIUS_FMT,58683398825172992,Radio de curación: {Radius}
UI_UPGRADEGRID_PROGRESSCOUNT_FMT,59426037270831104,{current}/{total}
EVENT_DESCRIPTION_TIME_FMT,61552718882267136,{EventText} : {TimeoutText}
EVENT_DESCRIPTION_TIME_ONLY_FMT,61553051326996480,{TimeoutText}
TUTORIAL_SWAPMEAT,47859765294915584,[InputAction:Interact/Interact] intercambia carne
PIN_MARKER,46746956646510592,¡FIJAR!
Tutorial_LEGABILITY,47863131572002816,[InputAction:Gameplay/LegsAbility] habilidad de las piernas
MODE_SELECT_FRIENDS_ONLY,47782185145458688,(Solo amigos)
JOIN_GAME_SPECTATE,47816347118198784,Observar
MENU_COMMON_BACK,47855835508891648,[InputAction:UI/Cancel] Atrás
JOIN_GAME_PROTOCOL_MISMATCH,48097039647498240,Falla de coincidencia de versiones
CAVE_ENTRANCE,48527482492321792,Entrada a la cueva
MESSAGE_BOX_TUTORIAL_SINGLE_PLAYER_TITLE,51432847888605184,Advertencia de tutorial
MESSAGE_BOX_TUTORIAL_SINGLE_PLAYER_MESSAGE,51432919170801664,"Para repetir el tutorial, debes reiniciar el modo de un jugador. <br>¿Quieres volver al menú principal para empezar la partida de un jugador?"
MESSAGE_BOX_REBIND_CONFLICT_TITLE,52952033853894656,Conflicto de reasignación de tecla
MESSAGE_BOX_REBIND_BANNED_TITLE,52961860839731200,No se reasignó la tecla.
UI_REQUIREMENT_NONE,52948800652697600,Sin requisitos
UI_REQUIREMENT_PROGRESSFLAG_FMT,52948896446406656,Requiere {flag}
UI_REQUIREMENT_STAT_RUNSFAILED_FMT,52949023231827968,Fallar {count:plural:{} partida|{} partidas}
UI_REQUIREMENT_STAT_PLANETSCOMPLETED_FMT,52949166408589312,Escapa de {count:plural:{} planeta|{} planetas}
UI_REQUIREMENT_STAT_MEATSWAPPED_FMT,52949168367329280,Intercambia {count:plural:{} carne|{} carnes}
UI_REQUIREMENT_STAT_PLANETSVISITED_FMT,52949169457848320,Visita {count:plural:{} planeta|{} planetas}
UI_REQUIREMENT_SOLARSYSTEM_FMT,52949170154102784,Completa {system} en {difficulty}{ascension:cond:>0? A{}|}
UI_REQUIREMENT_PLANET_FMT,52949486878580736,{planet} completado
UI_REQUIREMENT_EMPLOYEERANK_FMT,52949564150243328,Rango de empleado {rank}
UI_REQUIREMENT_WEAPONSTAT_OBJECTIVES_FMT,52949730919964672,Completa {count} {count:plural:directiva principal|directivas principales} con {family}
UI_TERMINAL_WEAPONS_TITLE,53934907058020352,TERMINAL DE ARMAS
UI_TERMINAL_WEAPONS_BACK,53934967472775168,VOLVER A LA SELECCIÓN DE ARMAS
UI_TERMINAL_EXIT,53935205264646144,TERMINAL DE SALIDA
UI_UPGRADEGRID_POINTS_AVAIL,53958569882542080,PUNTOS DISPONIBLES:
UI_UPGRADEGRID_RANK_UP,53960174602280960,SUBE DE CLASIFICACIÓN
UI_UPGRADEGRID_WEAPONS,53981706342883328,RANGO DE ARMA
UI_UPGRADEGRID_MAXRANK,54247495897702400,RANGO MÁXIMO
UI_UPGRADEGRID_UNLOCK,54247498640777216,DESBLOQUEAR
UI_UPGRADEGRID_CHALLENGE_TITLE,54322765962928128,DESAFÍO
UI_UPGRADEGRID_BLOCKED_DESC,54322889858473984,Desbloquea el cuadrado adyacente para revelar el desafío
UI_UPGRADEGRID_UNLOCKS_TITLE,54323001598926848,Desbloquea:
MESSAGE_BOX_LOAD_DEMO_PROGRESS_TITLE,55860577653682176,Progreso de migración del demo	
MESSAGE_BOX_LOAD_DEMO_MESSAGE,55860579570479104,Se encontró el archivo de guardado del demo de SwapMeat. ¿Quieres copiar tu progreso del juego? Se sobrescribirán todos los datos guardados.
MESSAGE_BOX_LOAD_DEMO_CONFIRM,56092048666587136,Sí
MESSAGE_BOX_LOAD_DEMO_SECONDARY,56092050369474560,"No, pero recuérdamelo la próxima vez"
MESSAGE_BOX_LOAD_DEMO_CANCEL,56092051975892992,"No, y no me vuelvas a preguntar de nuevo"
UI_WEAPONTERMINAL_INSPECT,56189457739538432,INSPECCIONAR ARMA
CURRENCY_TRADER_TITLE,58576102623272960,Comerciante Mike
CURRENCY_TRADER_DESCRIPTION,58576262912794624,// Convertir monedas y recursos
COMMON_BACK,58577423170527232,Atrás
CARL_TERMINAL_TITLE,58588816691159040,Carl Rangus
CARL_TERMINAL_DESCRIPTION,58588929878646784,El mejor gerente de este lado de la galaxia
CARL_TERMINAL_ALL_COMPLETED_ENTRY,58590589204029440,¡Ya lo hiciste todo! Quizás haya más por descubrir mientras exploras esos planetas...
COMMON_COMPLETED,58590894855544832,Completado
TRADER_TERMINAL_EMPTY_ENTRY,58591398792781824,No hay recursos en el inventario
TRADER_TERMINAL_ACTION_SELL,58596954802741248,Vender
TRADER_TERMINAL_ACTION_EXCHANGE,58597048063090688,Comprar
TRADER_TERMINAL_ACTION_UNAVAILABLE_NO_CURRENCY,58597098013057024,No hay suficientes fondos
UI_REQUIREMENTS,58737776349143040,Requisitos:
,59065052786782208,No puedes reaparecer mientras estás enfurecido
,59065063629058048,Mantén apretado [InputAction:Interact/Interact] para reaparecer
ITEM_REWARD_NAME_FMT,63053428530601984,{ItemName}{ItemCount:| +{ItemCount}}
SUBTITLE_LINE_FMT,63797240152449024,<color=#{SpeakerNameColor}>{SpeakerName}:</color> {SpeakerText}
Drain Tunnel,64088669405609984,Túnel de drenaje
Drain Tunnel 2,64091624674459648,Túnel de drenaje 2
MAIN_MENU_UNSTUCK_BTN_TXT,61894851502731264,¡Me atoré!
UI_CARLTERMINAL_CLAIM_BTN_CLAIM,63752028576215040,RECLAMAR
UI_CARLTERMINAL_CLAIM_BTN_CRAFT,63752026911076352,Comprar
UI_CARLTERMINAL_CLAIM_BTN_CURRENCY_LOCKED,63752030165856256,No hay suficientes fondos
UI_CARLTERMINAL_CLAIM_BTN_DEMO_LOCKED,63752024679706624,Demo bloqueado
UI_GALAXYMAP_DEMO_LOCKED,65856258359357440,Demo bloqueado
UI_TAG_EQUIPPED,63534599735599104,EQUIPADO
UI_TERMINAL_SMARTMEAT_TITLE,61538986663862272,TERMINAL DE BENEFICIOS DE EMPLEADO
UI_UGPRADEGRID_SMARTMEAT_SUBCATEGORY,61538997678104576,ERES EL ARMA DEFINITIVA
UI_UPGRADEGRID_DESC,61619816316788736,Sube de rango para obtener puntos de mejora.
UI_UPGRADEGRID_MAXDEMORANK,63774850287595520,Rango de demo máximo
UI_UPGRADEGRID_SMARTMEAT,61538996168155136,CARNE INTELIGENTE
UI_UPGRADEGRID_WEAPONS_BACK,63713969943076864,VOLVER A LA INSPECCIÓN DE ARMAS
UI_WEAPON_CRIT_CHANCE_TITLE,63446363281547264,CRÍTICO
UI_WEAPON_MAGAZINE_TITLE,63446478268391424,TAMAÑO DEL CARGADOR
UI_WEAPON_RANGE_FMT,63445941418450944,{Range:0.0} m
UI_WEAPON_RANGE_TITLE,63445794089328640,RANGO
UI_WEAPON_RATE_TITLE,63445951468003328,TASA
UI_WEAPONINSPECT_BASEDAMGE_FMT,63374233634332672,DAÑO BASE: {MinDamage} - {MaxDamage}{ProjectileCount:| x{}}
UI_WEAPONINSPECT_RELOAD_BONUS,63529341047267328,BONIFICACIÓN DE RECARGA:
UI_WEAPONINSPECT_TEST_WEAPON,63534728131633152,PRUEBA DE RANGO DE TIRO
UI_WEAPONINSPECT_UNLOCK,63351818913046528,DESBLOQUEAR
UI_WEAPONINSPECT_UNLOCK_DESC,63364702686666752,El arma se debe desbloquear para desarrollar los rangos de arma.
UI_WEAPONINSPECT_UPGRADE_DESC,63364711805083648,Completa desafíos para desbloquear mejoras de arma.<br>Sube de rango para ganar puntos de mejora para gastar.
UI_WEAPONINSPECT_UPGRADES,63351863464943616,MEJORAS DE RANGO
WEAPON_MAGAZINE_FMT,63446480793362432,{MaxCount}
HUNTERS_TIMER_FMT,68162259069689856,{SecondsRemaining:secondstotime()}
HUNTERS_TIMER_REWARD_FMT,68472376516403200,{Count:cond:<0?<color=#FF3667>{}s</color>|+{}s}
UI_OPTS_LAST_SAVE_TXT,68548738615799808,Último guardado:<br>{0:timespan(less|minute)} atrás<br><br>{Tag}
EVENT_REWARD_FMT,68757372988809216,{Count}
UI_OPTS_OPTIONS,67081590919852032,Opciones
UI_OPTS_MULTIPLAYER,67081471604486144,Multijugador
UI_OPTS_KEYBIND_BINDING,70421327982292992,Vincular:
UI_OPTS_KEYBIND_ERROR_MSG,70421794263068672,Esto desactivará otra acción: <br>{OtherActionName}<br>¿Confirmas que deseas continuar?
UI_OPTS_BUILD_INFO,71065577514266624,Plataforma: {PlatformName}    |    Build: {BuildId}    |    Hash del protocolo: {ProtocolHash}
DIAMOND,66974994580406272,Diamante
MESSAGE_BOX_LEAVE_CONFIRM,69161157897678848,Salir del juego
MESSAGE_BOX_LEAVE_HOST_TITLE,69160751356375040,¿Abandonar la partida?
MESSAGE_BOX_LEAVE_HOST_TXT,69160978603765760,"¿Confirmas que deseas abandonar esta partida?<br>Eres el anfitrión y si te vas, expulsarás a todos los demás jugadores."
MESSAGE_BOX_LEAVE_TITLE,69160074362155008,¿Salir del juego?
MESSAGE_BOX_LEAVE_TXT,69160855006015488,¿Confirmas que deseas abandonar el juego?
MESSAGE_BOX_RETURN_CONFIRM,69163340810612736,Abandonar partida
MESSAGE_BOX_RETURN_HOST_TXT,69163346871382016,¿Confirmas que deseas abandonar la partida?<br>Eres el anfitrión y todos los demás jugadores regresarán contigo.
MESSAGE_BOX_RETURN_TITLE,69163337862017024,¿Abandonar partida?
MESSAGE_BOX_RETURN_TXT,69163343302029312,¿Estás seguro que quieres abandonar la partida?
MODE_SELECT_CREATE_FRIENDS_DESC,71007351351472128,Los amigos pueden encontrar tu partida y unirse a ella.
MODE_SELECT_CREATE_FRIENDS_TITLE,71007349887660032,Amigos
MODE_SELECT_CREATE_PUBLIC_DESC,71007348780363776,"Todos pueden unirse, ¡ideal para streaming!"
MODE_SELECT_CREATE_PUBLIC_TITLE,71007346976813056,Público
MODE_SELECT_CREATE_SOLO_DESC,71007345391366144,Juega solo o invita a otros a unirse.
MODE_SELECT_CREATE_SOLO_TITLE,71007343826890752,Privado
MODE_SELECT_FRIENDS_GAME,70420085428121600,Amigos
MODE_SELECT_FRIENDS_GAME_DESC,70420318446874624,Los amigos pueden encontrar tu partida y unirse a ella.
MODE_SELECT_GAME_MODE_TITLE,71011334463877120,Modo de juego
MODE_SELECT_JOIN_BTN,70420672118976512,Unirse a un juego
MODE_SELECT_PLAY_BT,71007312436719616,Jugar
MODE_SELECT_PLAY_BTN,70420636043767808,Jugar
MODE_SELECT_PUBLIC_GAME,70420047901683712,Público
MODE_SELECT_PUBLIC_GAME_DESC,70420200670818304,"Todos pueden unirse, ¡ideal para streaming!"
MODE_SELECT_SOLO_GAME,70420012703084544,Privado
MODE_SELECT_SOLO_GAME_DESC,70420126205145088,Juega solo o invita a otros a unirse.
Open Hatch,70668568375361536,Abrir escotilla
OPTS_MULTIPLAYER_CURRENT_TEAM,69865368843120640,Equipo actual
OPTS_MULTIPLAYER_ENABLE_OBSERVERS,69865544915808256,Habilitar observadores
OPTS_MULTIPLAYER_MANAGE_BLOCKS,69865680991612928,Administrar lista de personas bloqueadas...
PROTECTIVE_CRSYSTAL,66975109500141568,Cristal protector
SHIELD_GENERATOR,66975448525733888,Generador de escudo
UI_BLOCKLIST_TITLE,69854086446379008,Lista de personas bloqueadas
UI_BLOCKLIST_UNBLOCK_BTN,69854165966188544,Desbloquear
UI_COMPASS_E,68109962709032960,E
UI_COMPASS_N,68109857843044352,N
UI_COMPASS_NE,68109928332517376,NE
UI_COMPASS_NW,68110126031036416,NW
UI_COMPASS_S,68110021160853504,S
UI_COMPASS_SE,68109993440698368,SE
UI_COMPASS_SW,68110069386960896,SW
UI_COMPASS_W,68110099468509184,W
UI_MULTIPLAYER_BLOCKLIST_HELP_MESSAGE,70426187016368128,"Consulta y administra la lista de usuarios que agregaste a tu lista de personas bloqueadas.<br><br>Los usuarios bloqueados no podrán unirse a las partidas que organices. Si tú y el usuario bloqueado se unen a una partida que cree un tercero, el usuario bloqueado estará automáticamente silenciado para ti."
UI_MULTIPLAYER_BLOCKLIST_HELP_TITLE,70426179655364608,Administrar lista de personas bloqueadas
